tick,agent,x,y,z
0,Elin,2,0,0
0,John,1,2,0
1,Elin,3,0,0
1,John,1,2,0
2,Elin,4,0,0
2,John,1,2,0
3,Elin,4,1,0
3,John,1,3,0
4,Elin,4,1,0
4,John,1,3,0
5,Elin,4,1,0
5,John,1,3,0
6,Elin,4,1,0
6,John,1,3,0
7,Elin,4,1,0
7,John,1,3,0
8,Elin,4,1,0
8,John,1,3,0
9,Elin,4,1,0
9,John,1,3,0
10,Elin,4,1,0
10,John,1,3,0
11,Elin,4,1,0
11,John,1,3,0
12,Elin,4,1,0
12,John,1,3,0
13,Elin,4,1,0
13,John,1,3,0
14,Elin,4,1,0
14,John,1,3,0
15,Elin,4,1,0
15,John,1,3,0
16,Elin,4,1,0
16,John,1,3,0
17,Elin,4,1,0
17,John,1,4,0
18,Elin,4,1,0
18,John,0,4,0
19,Elin,4,1,0
19,John,0,3,0
20,Elin,4,1,0
20,John,0,4,0
21,Elin,4,1,0
21,John,0,3,0
22,Elin,4,1,0
22,John,0,2,0
23,Elin,4,1,0
23,John,1,2,0
24,Elin,4,1,0
24,John,1,3,0
25,Elin,4,1,0
25,John,0,3,0
26,Elin,4,1,0
26,John,0,4,0
27,Elin,4,1,0
27,John,1,4,0
28,Elin,4,1,0
28,John,1,3,0
29,Elin,4,1,0
29,John,1,4,0
30,Elin,4,1,0
30,John,0,4,0
31,Elin,4,1,0
31,John,0,3,0
32,Elin,4,1,0
32,John,1,3,0
33,Elin,4,1,0
33,John,0,3,0
34,Elin,4,1,0
34,John,0,4,0
35,Elin,4,1,0
35,John,1,4,0
36,Elin,4,1,0
36,John,1,3,0
37,Elin,4,1,0
37,John,1,2,0
38,Elin,4,1,0
38,John,2,2,0
39,Elin,4,1,0
39,John,2,3,0
40,Elin,4,1,0
40,John,3,3,0
41,Elin,4,1,0
41,John,3,2,0
42,Elin,4,1,0
42,John,4,2,0
43,Elin,4,1,0
43,John,4,3,0
44,Elin,4,1,0
44,John,4,4,0
45,Elin,4,1,0
45,John,3,4,0
46,Elin,4,1,0
46,John,3,3,0
47,Elin,4,1,0
47,John,3,2,0
48,Elin,4,1,0
48,John,4,2,0
49,Elin,4,1,0
49,John,4,3,0
50,Elin,4,1,0
50,John,3,3,0
51,Elin,4,1,0
51,John,3,2,0
52,Elin,4,1,0
52,John,3,1,0
53,Elin,4,1,0
53,John,4,1,0
54,Elin,4,1,0
54,John,4,0,0
55,Elin,4,1,0
55,John,4,1,0
56,Elin,4,1,0
56,John,4,0,0
57,Elin,4,1,0
57,John,4,1,0
58,Elin,4,1,0
58,John,3,1,0
59,Elin,4,1,0
59,John,2,1,0
60,Elin,4,1,0
60,John,2,0,0
61,Elin,4,1,0
61,John,3,0,0
62,Elin,4,1,0
62,John,2,0,0
63,Elin,4,1,0
63,John,2,1,0
64,Elin,4,1,0
64,John,3,1,0
65,Elin,4,1,0
65,John,3,0,0
66,Elin,4,1,0
66,John,2,0,0
67,Elin,4,1,0
67,John,3,0,0
68,Elin,4,1,0
68,John,3,1,0
69,Elin,4,1,0
69,John,3,2,0
70,Elin,4,1,0
70,John,2,2,0
71,Elin,4,1,0
71,John,2,3,0
72,Elin,4,1,0
72,John,3,3,0
73,Elin,4,1,0
73,John,3,2,0
74,Elin,4,1,0
74,John,3,1,0
75,Elin,4,1,0
75,John,3,2,0
76,Elin,4,1,0
76,John,3,1,0
77,Elin,4,1,0
77,John,3,0,0
78,Elin,4,1,0
78,John,2,0,0
79,Elin,4,1,0
79,John,2,1,0
80,Elin,4,1,0
80,John,3,1,0
81,Elin,4,1,0
81,John,3,2,0
82,Elin,4,1,0
82,John,3,3,0
83,Elin,4,1,0
83,John,4,3,0
84,Elin,4,1,0
84,John,4,4,0
85,Elin,4,1,0
85,John,3,4,0
86,Elin,4,1,0
86,John,2,4,0
87,Elin,4,1,0
87,John,2,4,1
88,Elin,4,1,0
88,John,2,4,0
89,Elin,4,1,0
89,John,2,4,1
90,Elin,4,1,0
90,John,2,3,1
91,Elin,4,1,0
91,John,1,3,1
92,Elin,4,1,0
92,John,1,3,1
93,Elin,4,1,0
93,John,1,3,1
94,Elin,4,1,0
94,John,1,3,1
95,Elin,4,1,0
95,John,1,3,1
96,Elin,4,1,0
96,John,1,3,1
97,Elin,4,1,0
97,John,1,3,1
98,Elin,4,1,0
98,John,1,3,1
99,Elin,4,1,0
99,John,1,3,1
100,Elin,4,1,0
100,John,1,3,1
101,Elin,4,1,0
101,John,1,3,1
102,Elin,4,1,0
102,John,1,3,1
103,Elin,4,1,0
103,John,1,3,1
104,Elin,4,1,0
104,John,0,3,1
105,Elin,4,1,0
105,John,1,3,1
106,Elin,4,1,0
106,John,1,2,1
107,Elin,4,1,0
107,John,1,1,1
108,Elin,4,1,0
108,John,2,1,1
109,Elin,4,1,0
109,John,1,1,1
110,Elin,4,1,0
110,John,1,0,1
111,Elin,4,1,0
111,John,0,0,1
112,Elin,4,1,0
112,John,1,0,1
113,Elin,4,1,0
113,John,1,1,1
114,Elin,4,1,0
114,John,0,1,1
115,Elin,4,1,0
115,John,1,1,1
116,Elin,4,1,0
116,John,1,0,1
117,Elin,4,1,0
117,John,2,0,1
118,Elin,4,1,0
118,John,2,1,1
119,Elin,4,1,0
119,John,1,1,1
120,Elin,4,1,0
120,John,1,0,1
121,Elin,4,1,0
121,John,0,0,1
122,Elin,4,1,0
122,John,1,0,1
123,Elin,4,1,0
123,John,1,1,1
124,Elin,4,1,0
124,John,0,1,1
125,Elin,4,1,0
125,John,1,1,1
126,Elin,4,1,0
126,John,2,1,1
127,Elin,4,1,0
127,John,3,1,1
128,Elin,4,1,0
128,John,3,0,1
129,Elin,4,1,0
129,John,4,0,1
130,Elin,4,1,0
130,John,4,1,1
131,Elin,4,1,0
131,John,3,1,1
132,Elin,4,1,0
132,John,2,1,1
133,Elin,4,1,0
133,John,2,0,1
134,Elin,4,1,0
134,John,2,1,1
135,Elin,4,1,0
135,John,2,2,1
136,Elin,4,1,0
136,John,1,2,1
137,Elin,4,1,0
137,John,0,2,1
138,Elin,4,1,0
138,John,1,2,1
139,Elin,4,1,0
139,John,1,1,1
140,Elin,4,1,0
140,John,2,1,1
141,Elin,4,1,0
141,John,3,1,1
142,Elin,4,1,0
142,John,4,1,1
143,Elin,4,1,0
143,John,4,2,1
144,Elin,4,1,0
144,John,4,2,1
145,Elin,4,1,0
145,John,4,2,1
146,Elin,4,1,0
146,John,4,1,1
147,Elin,4,1,0
147,John,3,1,1
148,Elin,4,1,0
148,John,2,1,1
149,Elin,4,1,0
149,John,3,1,1
150,Elin,4,1,0
150,John,4,1,1
151,Elin,4,1,0
151,John,4,2,1
152,Elin,4,1,0
152,John,4,2,1
153,Elin,4,1,0
153,John,4,2,1
154,Elin,4,1,0
154,John,3,2,1
155,Elin,4,1,0
155,John,2,2,1
156,Elin,4,1,0
156,John,3,2,1
157,Elin,4,1,0
157,John,4,2,1
158,Elin,4,1,0
158,John,4,2,1
159,Elin,4,1,0
159,John,4,2,1
160,Elin,4,1,0
160,John,3,2,1
161,Elin,4,1,0
161,John,2,2,1
162,Elin,4,1,0
162,John,3,2,1
163,Elin,4,1,0
163,John,4,2,1
164,Elin,4,1,0
164,John,4,2,1
165,Elin,4,1,0
165,John,4,2,1
166,Elin,4,1,0
166,John,4,1,1
167,Elin,4,1,0
167,John,4,0,1
168,Elin,4,1,0
168,John,3,0,1
169,Elin,4,1,0
169,John,2,0,1
170,Elin,4,1,0
170,John,3,0,1
171,Elin,4,1,0
171,John,4,0,1
172,Elin,4,1,0
172,John,4,1,1
173,Elin,4,1,0
173,John,4,2,1
174,Elin,4,1,0
174,John,4,2,1
175,Elin,4,1,0
175,John,4,2,1
176,Elin,4,1,0
176,John,4,1,1
177,Elin,4,1,0
177,John,3,1,1
178,Elin,4,1,0
178,John,3,0,1
179,Elin,4,1,0
179,John,3,1,1
180,Elin,4,1,0
180,John,2,1,1
181,Elin,4,1,0
181,John,3,1,1
182,Elin,4,1,0
182,John,4,1,1
183,Elin,4,1,0
183,John,4,2,1
184,Elin,4,1,0
184,John,4,2,1
185,Elin,4,1,0
185,John,4,2,1
186,Elin,4,1,0
186,John,4,1,1
187,Elin,4,1,0
187,John,3,1,1
188,Elin,4,1,0
188,John,3,2,1
189,Elin,4,1,0
189,John,4,2,1
190,Elin,4,1,0
190,John,4,1,1
191,Elin,4,1,0
191,John,4,0,1
192,Elin,4,1,0
192,John,3,0,1
193,Elin,4,1,0
193,John,4,0,1
194,Elin,4,1,0
194,John,4,1,1
195,Elin,4,1,0
195,John,3,1,1
196,Elin,4,1,0
196,John,3,0,1
197,Elin,4,1,0
197,John,4,0,1
198,Elin,4,1,0
198,John,3,0,1
199,Elin,4,1,0
199,John,3,1,1
200,Elin,4,1,0
200,John,3,2,1
201,Elin,4,1,0
201,John,4,2,1
202,Elin,4,1,0
202,John,3,2,1
203,Elin,4,1,0
203,John,2,2,1
204,Elin,4,1,0
204,John,3,2,1
205,Elin,4,1,0
205,John,4,2,1
