tick,unit,enroute,arrived,eta,location,targets_remaining,opened_egress,cooled_cubes,agents_helped,force_entries,command_mode,active_incident
107,Engine 1,True,False,29.0,"(4, 4, 0)",1,0,0,0,0,offensive,True
108,Engine 1,True,False,28.0,"(4, 4, 0)",1,0,0,0,0,offensive,True
109,Engine 1,True,False,27.0,"(4, 4, 0)",1,0,0,0,0,offensive,True
110,Engine 1,True,False,26.0,"(4, 4, 0)",1,0,0,0,0,offensive,True
111,Engine 1,True,False,25.0,"(4, 4, 0)",1,0,0,0,0,offensive,True
112,Engine 1,True,False,24.0,"(4, 4, 0)",1,0,0,0,0,offensive,True
113,Engine 1,True,False,23.0,"(4, 4, 0)",1,0,0,0,0,offensive,True
114,Engine 1,True,False,22.0,"(4, 4, 0)",1,0,0,0,0,offensive,True
115,Engine 1,True,False,21.0,"(4, 4, 0)",1,0,0,0,0,offensive,True
116,Engine 1,True,False,20.0,"(4, 4, 0)",1,0,0,0,0,offensive,True
117,Engine 1,True,False,19.0,"(4, 4, 0)",1,0,0,0,0,offensive,True
118,Engine 1,True,False,18.0,"(4, 4, 0)",1,0,0,0,0,offensive,True
119,Engine 1,True,False,17.0,"(4, 4, 0)",1,0,0,0,0,offensive,True
120,Engine 1,True,False,16.0,"(4, 4, 0)",1,0,0,0,0,offensive,True
121,Engine 1,True,False,15.0,"(4, 4, 0)",1,0,0,0,0,offensive,True
122,Engine 1,True,False,14.0,"(4, 4, 0)",1,0,0,0,0,offensive,True
123,Engine 1,True,False,13.0,"(4, 4, 0)",1,0,0,0,0,offensive,True
124,Engine 1,True,False,12.0,"(4, 4, 0)",1,0,0,0,0,offensive,True
125,Engine 1,True,False,11.0,"(4, 4, 0)",1,0,0,0,0,offensive,True
126,Engine 1,True,False,10.0,"(4, 4, 0)",1,0,0,0,0,offensive,True
127,Engine 1,True,False,9.0,"(4, 4, 0)",1,0,0,0,0,offensive,True
128,Engine 1,True,False,8.0,"(4, 4, 0)",1,0,0,0,0,offensive,True
129,Engine 1,True,False,7.0,"(4, 4, 0)",1,0,0,0,0,offensive,True
130,Engine 1,True,False,6.0,"(4, 4, 0)",1,0,0,0,0,offensive,True
131,Engine 1,True,False,5.0,"(4, 4, 0)",1,0,0,0,0,offensive,True
132,Engine 1,True,False,4.0,"(4, 4, 0)",1,0,0,0,0,offensive,True
133,Engine 1,True,False,3.0,"(4, 4, 0)",1,0,0,0,0,offensive,True
134,Engine 1,True,False,2.0,"(4, 4, 0)",1,0,0,0,0,offensive,True
135,Engine 1,True,False,1.0,"(4, 4, 0)",1,0,0,0,0,offensive,True
136,Engine 1,False,True,0.0,"(3, 4, 0)",6,5,0,0,0,offensive,True
137,Engine 1,False,True,0.0,"(2, 4, 0)",5,1,0,0,0,offensive,True
138,Engine 1,False,True,0.0,"(1, 4, 0)",4,2,0,0,0,offensive,True
139,Engine 1,False,True,0.0,"(1, 3, 0)",3,1,0,0,0,offensive,True
140,Engine 1,False,True,0.0,"(1, 2, 0)",2,3,0,1,0,offensive,True
141,Engine 1,False,True,0.0,"(1, 1, 0)",1,5,32,0,0,offensive,True
142,Engine 1,False,True,0.0,"(1, 1, 0)",0,0,32,0,0,offensive,True
143,Engine 1,False,True,0.0,"(1, 1, 0)",0,0,32,0,0,offensive,True
144,Engine 1,False,True,0.0,"(1, 1, 0)",0,0,32,0,0,offensive,True
145,Engine 1,False,True,0.0,"(1, 1, 0)",0,0,32,0,0,offensive,True
146,Engine 1,False,True,0.0,"(1, 1, 0)",0,0,32,0,0,offensive,True
147,Engine 1,False,True,0.0,"(1, 1, 0)",0,0,32,0,0,offensive,True
148,Engine 1,False,True,0.0,"(1, 1, 0)",0,0,32,1,0,offensive,True
149,Engine 1,False,True,0.0,"(1, 1, 0)",0,0,32,0,0,offensive,True
150,Engine 1,False,True,0.0,"(1, 1, 0)",0,0,32,0,0,offensive,True
151,Engine 1,False,True,0.0,"(1, 1, 0)",0,0,32,0,0,offensive,True
152,Engine 1,False,True,0.0,"(1, 1, 0)",0,0,32,0,0,offensive,True
153,Engine 1,False,True,0.0,"(1, 1, 0)",0,0,32,0,0,offensive,True
154,Engine 1,False,True,0.0,"(1, 1, 0)",0,0,32,0,0,offensive,True
155,Engine 1,False,True,0.0,"(1, 1, 0)",0,0,32,1,0,offensive,True
156,Engine 1,False,True,0.0,"(1, 1, 0)",0,0,32,0,0,offensive,True
157,Engine 1,False,True,0.0,"(1, 1, 0)",0,0,32,0,0,offensive,True
158,Engine 1,False,True,0.0,"(1, 1, 0)",0,0,32,0,0,offensive,True
159,Engine 1,False,True,0.0,"(1, 1, 0)",0,0,32,0,0,offensive,True
160,Engine 1,False,True,0.0,"(1, 1, 0)",0,0,32,0,0,offensive,True
161,Engine 1,False,True,0.0,"(1, 1, 0)",0,0,32,1,0,offensive,True
162,Engine 1,False,True,0.0,"(1, 1, 0)",0,0,32,0,0,offensive,True
163,Engine 1,False,True,0.0,"(1, 1, 0)",0,0,32,0,0,offensive,True
164,Engine 1,False,True,0.0,"(1, 1, 0)",0,0,32,0,0,offensive,True
165,Engine 1,False,True,0.0,"(1, 1, 0)",0,0,32,0,0,offensive,True
166,Engine 1,False,True,0.0,"(1, 1, 0)",0,0,32,0,0,offensive,True
